cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017262,C0079941,NEG_AFFECTS,Gene Expression,Open Reading Frames,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0017262,C3541708,NEG_AFFECTS,Gene Expression,IFNL4 gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0002520,NEG_AFFECTS,Mutation,Amino Acids,genf,aapp,2,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0003250,NEG_AFFECTS,Mutation,Monoclonal Antibodies,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0026972,NEG_AFFECTS,Mutation,Myelin Proteins,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0033665,NEG_AFFECTS,Mutation,Protein Precursors,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0042720,NEG_AFFECTS,Mutation,Viral Genome,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0054757,NEG_AFFECTS,Mutation,carboxypeptidase H,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0162799,NEG_AFFECTS,Mutation,"Ribonucleoprotein, U4-U6 Small Nuclear",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0175168,NEG_AFFECTS,Mutation,"Protein, Organized by Structure",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0300824,NEG_AFFECTS,Mutation,SNAP receptor,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0599561,NEG_AFFECTS,Mutation,e protein,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C0815043,NEG_AFFECTS,Mutation,"Protein, Organized by Function",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C1334043,NEG_AFFECTS,Mutation,Homologous Gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C1412831,NEG_AFFECTS,Mutation,BST2 gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C1415351,NEG_AFFECTS,Mutation,GTPBP1 gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C1415898,NEG_AFFECTS,Mutation,IFITM3 gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C1421437,NEG_AFFECTS,Mutation,VCP gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C1825516,NEG_AFFECTS,Mutation,ARHGAP45 gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0026882,C1826525,NEG_AFFECTS,Mutation,OTUD7B gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0032529,C1422064,NEG_AFFECTS,Genetic Polymorphism,ACE2 gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0034865,C0035685,NEG_AFFECTS,"Recombination, Genetic",RNA-Directed RNA Polymerase,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0034865,C1539479,NEG_AFFECTS,"Recombination, Genetic",FATE1 gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0040649,C0021740,NEG_AFFECTS,"Transcription, Genetic",Recombinant Interferon-gamma,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0040649,C0021755,NEG_AFFECTS,"Transcription, Genetic",Interleukin-1,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0040649,C0042736,NEG_AFFECTS,"Transcription, Genetic",Viral Proteins,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0040649,C0815043,NEG_AFFECTS,"Transcription, Genetic","Protein, Organized by Function",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0040649,C1333196,NEG_AFFECTS,"Transcription, Genetic",Cytokine Gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0040649,C1414314,NEG_AFFECTS,"Transcription, Genetic",EGR1 gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0040649,C3811720,NEG_AFFECTS,"Transcription, Genetic",MIR22 wt Allele,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0040649,C3890018,NEG_AFFECTS,"Transcription, Genetic",HSP90B2P wt Allele,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0162493,C1143949,NEG_AFFECTS,Transcriptional Activation,"TNFSF10 protein, human",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0162493,C1515370,NEG_AFFECTS,Transcriptional Activation,Recombinant Fas Ligand,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0525038,C0014436,NEG_AFFECTS,Amino Acid Substitution,Enzyme Precursors,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0525038,C0175168,NEG_AFFECTS,Amino Acid Substitution,"Protein, Organized by Structure",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0525038,C0534101,NEG_AFFECTS,Amino Acid Substitution,"KLK6 protein, human",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0598496,C1414270,NEG_AFFECTS,Gene Silencing,EEF1A1 gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0598496,C1421267,NEG_AFFECTS,Gene Silencing,UBC gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C0920533,C0042720,NEG_AFFECTS,Transcriptional Repression,Viral Genome,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1136031,C0035542,NEG_AFFECTS,RNA Interference,Ribonucleases,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1136031,C1258847,NEG_AFFECTS,RNA Interference,"CES1 protein, human",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1148825,C1335439,NEG_AFFECTS,3'-5' exonuclease activity,Polymerase,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1149627,C1136102,NEG_AFFECTS,helicase activity,Capsid Proteins,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1152412,C0012892,NEG_AFFECTS,RNA-directed RNA polymerase activity,DNA-Directed DNA Polymerase,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1158013,C0120285,NEG_AFFECTS,Nonsense Mediated mRNA Decay,Green Fluorescent Proteins,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1158013,C1539986,NEG_AFFECTS,Nonsense Mediated mRNA Decay,TMED5 gene,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1158016,C0071795,NEG_AFFECTS,rRNA catabolic process,2-5A-dependent ribonuclease,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1257756,C0042720,NEG_AFFECTS,RNA Degradation,Viral Genome,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1328949,C0042736,NEG_AFFECTS,RNA replication,Viral Proteins,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1512167,C0013729,NEG_AFFECTS,Ectopic Gene Expression,Eukaryotic Initiation Factor-2,genf,aapp,2,NEG_AFFECTS_GENFnafctAAPP
C1512167,C0034848,NEG_AFFECTS,Ectopic Gene Expression,"Receptors, Virus",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1512167,C3710914,NEG_AFFECTS,Ectopic Gene Expression,"EIF2AK2 protein, human",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1519614,C3710914,NEG_AFFECTS,Genetic Translation Process,"EIF2AK2 protein, human",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1519619,C0013729,NEG_AFFECTS,Translational Repression,Eukaryotic Initiation Factor-2,genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
C1519619,C3710914,NEG_AFFECTS,Translational Repression,"EIF2AK2 protein, human",genf,aapp,1,NEG_AFFECTS_GENFnafctAAPP
