cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004793,C0028606,STIMULATES,Base Sequence,Nucleic Acids,nusq,bacs,1,STIMULATES_NUSQstimBACS
C0009221,C0035711,STIMULATES,Codon (nucleotide sequence),Transfer RNA,nusq,bacs,3,STIMULATES_NUSQstimBACS
C0012872,C0012854,STIMULATES,"Markers, DNA",DNA,nusq,bacs,1,STIMULATES_NUSQstimBACS
C0162326,C0000702,STIMULATES,DNA Sequence,"DNA, A-Form",nusq,bacs,1,STIMULATES_NUSQstimBACS
C0162326,C0012854,STIMULATES,DNA Sequence,DNA,nusq,bacs,4,STIMULATES_NUSQstimBACS
C0162326,C0012933,STIMULATES,DNA Sequence,"DNA, Ribosomal",nusq,bacs,1,STIMULATES_NUSQstimBACS
C0162326,C0032136,STIMULATES,DNA Sequence,Plasmids,nusq,bacs,3,STIMULATES_NUSQstimBACS
C0162326,C0282523,STIMULATES,DNA Sequence,CpG Islands,nusq,bacs,1,STIMULATES_NUSQstimBACS
C0162326,C0684192,STIMULATES,DNA Sequence,DNA fragments,nusq,bacs,1,STIMULATES_NUSQstimBACS
C0162326,C0949639,STIMULATES,DNA Sequence,Transcription Initiation Site,nusq,bacs,2,STIMULATES_NUSQstimBACS
C0162326,C1764827,STIMULATES,DNA Sequence,Isolate - microorganism,nusq,bacs,1,STIMULATES_NUSQstimBACS
C0752046,C0086860,STIMULATES,Single Nucleotide Polymorphism,promoter,nusq,bacs,1,STIMULATES_NUSQstimBACS
C0752046,C1101610,STIMULATES,Single Nucleotide Polymorphism,MicroRNAs,nusq,bacs,1,STIMULATES_NUSQstimBACS
C1512886,C0032136,STIMULATES,Internal Ribosome Entry Sites,Plasmids,nusq,bacs,1,STIMULATES_NUSQstimBACS
C1512886,C0035670,STIMULATES,Internal Ribosome Entry Sites,RNA Caps,nusq,bacs,1,STIMULATES_NUSQstimBACS
C1512886,C0035696,STIMULATES,Internal Ribosome Entry Sites,"RNA, Messenger",nusq,bacs,3,STIMULATES_NUSQstimBACS
C1517336,C0018988,STIMULATES,G-Quadruplexes,Hemin,nusq,bacs,1,STIMULATES_NUSQstimBACS
C1882939,C0032136,STIMULATES,Restriction Enzyme Cleavage Site,Plasmids,nusq,bacs,1,STIMULATES_NUSQstimBACS
C1883633,C0032136,STIMULATES,3' Region,Plasmids,nusq,bacs,1,STIMULATES_NUSQstimBACS
C1956150,C0037871,STIMULATES,Opal Stop Codon,spermidine,nusq,bacs,1,STIMULATES_NUSQstimBACS
